"message","status_code","function_name","timestamp","user","exception"
"Invalid user data for nakul",500,"load_user_info_entries","2025-10-30T04:20:13.596590Z","nakul","1 validation error for User
profile_pic_url
  Field required [type=missing, input_value={'uid': 2, 'account_type'...ax_tweets_retrieve': 60}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing"
"Invalid tweet data for tweet 1983208915568341266",500,"read_from_cache","2025-10-30T23:22:16.048966Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...do.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983035794660225111",500,"read_from_cache","2025-10-30T23:22:16.049166Z","nakul","2 validation errors for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Excited to welc...us/1983019304317841497'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Jr.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983241144298324221",500,"read_from_cache","2025-10-30T23:22:16.049296Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Today, we are r...us/1911778937027305502'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983050676625408127",500,"read_from_cache","2025-10-30T23:22:16.049393Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...vt.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983197711697592784",500,"read_from_cache","2025-10-30T23:22:16.049533Z","nakul","2 validation errors for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': '“AI slop” m...us/1982201950864380415'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Nr.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983248554253840736",500,"read_from_cache","2025-10-30T23:22:16.049645Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Z_.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1982968556418449679",500,"read_from_cache","2025-10-30T23:22:16.049723Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...iG.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983210585085841900",500,"read_from_cache","2025-10-30T23:22:16.049840Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Sd.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983223661919449210",500,"read_from_cache","2025-10-30T23:22:16.049932Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...O1.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983163623343362335",500,"read_from_cache","2025-10-30T23:22:16.049985Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Every LP asking...us/1982901486670815510'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983006789894639831",500,"read_from_cache","2025-10-30T23:22:16.050074Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Every LP asking...us/1982901486670815510'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983160567725805973",500,"read_from_cache","2025-10-30T23:22:16.050156Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Venture $$ depl...us/1982913539682775183'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983235609968992355",500,"read_from_cache","2025-10-30T23:22:16.050262Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...6o.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983257820180119555",500,"read_from_cache","2025-10-30T23:22:16.050327Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...SM.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983217724714066310",500,"read_from_cache","2025-10-30T23:22:16.050391Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...P8.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983179537627422974",500,"read_from_cache","2025-10-30T23:22:16.050451Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...ts.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983103310791159863",500,"read_from_cache","2025-10-30T23:22:16.050509Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...tf.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983188462825267559",500,"read_from_cache","2025-10-30T23:22:16.050553Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...dB.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983214896088330583",500,"read_from_cache","2025-10-30T23:22:16.050593Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...eP.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983191563611332934",500,"read_from_cache","2025-10-30T23:22:16.050646Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ..._s.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983201394770522616",500,"read_from_cache","2025-10-30T23:22:16.050724Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'The evolution o...us/1983197048372666842'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983187159092773217",500,"read_from_cache","2025-10-30T23:22:16.050811Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...f1.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983212436762099795",500,"read_from_cache","2025-10-30T23:22:16.050883Z","nakul","2 validation errors for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Terrifying Real...us/1982939550469980305'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...vn.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983573435856122172",500,"read_from_cache","2025-10-30T23:22:16.050978Z","nakul","1 validation error for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19835734358561221...with the X algorithm.']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing"
"Invalid tweet data for tweet 1983556734062043587",500,"read_from_cache","2025-10-30T23:22:16.051080Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...n1.png', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983284837667713092",500,"read_from_cache","2025-10-30T23:22:16.051167Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'the new NEW ope...us/1983276840115634371'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983277006193336734",500,"read_from_cache","2025-10-30T23:22:16.051248Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Yn.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983310970501083475",500,"read_from_cache","2025-10-30T23:22:16.051345Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19833109705010834...erican manufacturing!']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': ""Proud to partne...us/1983278356205543851'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983568035559419942",500,"read_from_cache","2025-10-30T23:22:16.051444Z","nakul","1 validation error for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19835680355594199...th a prepared mind ;)']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing"
"Invalid tweet data for tweet 1983410150359675196",500,"read_from_cache","2025-10-30T23:22:16.051533Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'LLMs are inject...us/1982818213206315120'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983389259131392116",500,"read_from_cache","2025-10-30T23:22:16.051594Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Now this is a m...us/1983314104451539053'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983383542521299272",500,"read_from_cache","2025-10-30T23:22:16.051674Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': ""crazy roadmap o...us/1983312824710422662'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983373157290622994",500,"read_from_cache","2025-10-30T23:22:16.051746Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': '“OK Claude, b...us/1982893684069937587'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983372975329161467",500,"read_from_cache","2025-10-30T23:22:16.051797Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'How life feels ...us/1983228867444912152'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
